tick;traderType;traderName;bidType;offeredPrice;clearedPrice;offeredQuantity;assignedQuantity
-96;FlexPowerplant2;FLENSBURG 10;EnergySupplyMustRun;-107,92;3000;3,5;3,5;
-96;FlexPowerplant2;WERNE (GERSTEIN K) 1;EnergySupplyMustRun;-107,01;3000;67;67;
-96;FlexPowerplant2;STAUDINGER 5;EnergySupplyMustRun;-106,29;3000;51;51;
-96;FlexPowerplant2;GKM 8;EnergySupplyMustRun;-106,29;3000;48;48;
-96;FlexPowerplant2;MUNCHEN NORD 1;EnergySupplyMustRun;-106,29;3000;39;39;
-96;FlexPowerplant2;TIEFSTACK ERSATZ 1;EnergySupplyMustRun;-106,29;3000;18;18;
-96;FlexPowerplant2;KASSEL SWEW 1;EnergySupplyMustRun;-106,19;3000;3,5;3,5;
-96;FlexPowerplant2;FLENSBURG 11;EnergySupplyMustRun;-105,91;3000;3,75;3,75;
-96;FlexPowerplant2;WALSUM 09;EnergySupplyMustRun;-105,74;3000;41;41;
-96;FlexPowerplant2;HERNE 4;EnergySupplyMustRun;-105,65;3000;50;50;
-96;FlexPowerplant2;GKH HANNOVER 2;EnergySupplyMustRun;-105,65;3000;15;15;
-96;FlexPowerplant2;GKH HANNOVER 1;EnergySupplyMustRun;-105,65;3000;15;15;
-96;FlexPowerplant2;HASTEDT 15;EnergySupplyMustRun;-105,65;3000;13;13;
-96;FlexPowerplant2;PFORZHEIM-III NO 1;EnergySupplyMustRun;-105,65;3000;3;3;
-96;FlexPowerplant2;FENNE-C NO 1;EnergySupplyMustRun;-105,31;3000;21,25;21,25;
-96;FlexPowerplant2;IBBENBUREN-B NO 1;EnergySupplyMustRun;-105,07;3000;80,75;80,75;
-96;FlexPowerplant2;HEILBRONN 7;EnergySupplyMustRun;-104,98;3000;76;76;
-96;FlexPowerplant2;ALTBACH-I NO 5;EnergySupplyMustRun;-104,98;3000;46;46;
-96;FlexPowerplant2;HEYDEN 4;EnergySupplyMustRun;-104,94;3000;91;91;
-96;FlexPowerplant2;ELBERFELD 2;EnergySupplyMustRun;-104,94;3000;10,25;10,25;
-96;FlexPowerplant2;MOABIT 3;EnergySupplyMustRun;-104,85;3000;10,25;10,25;
-96;FlexPowerplant2;ZOLLING 5;EnergySupplyMustRun;-104,67;3000;47,5;47,5;
-96;FlexPowerplant2;GKM 7;EnergySupplyMustRun;-104,18;3000;47,5;47,5;
-96;FlexPowerplant2;WERDOHL-ELVERLINGSEN E4;EnergySupplyMustRun;-104,18;3000;31,5;31,5;
-96;FlexPowerplant2;FENNE-B NO 1;EnergySupplyMustRun;-104,18;3000;19,5;19,5;
-96;FlexPowerplant2;BEXBACH C 1;EnergySupplyMustRun;-104,18;3000;77,25;77,25;
-96;FlexPowerplant2;BUER 1;EnergySupplyMustRun;-104,1;3000;8,25;8,25;
-96;FlexPowerplant2;HKW WEST 3;EnergySupplyMustRun;-103,58;3000;7;7;
-96;FlexPowerplant2;HKW WEST 2;EnergySupplyMustRun;-103,58;3000;7;7;
-96;FlexPowerplant2;HKW OFFENBACH 1;EnergySupplyMustRun;-103,51;3000;6,5;6,5;
-96;FlexPowerplant2;SCHOLVEN F;EnergySupplyMustRun;-103,36;3000;74;74;
-96;FlexPowerplant2;MEHRUM 1;EnergySupplyMustRun;-103,26;3000;75,25;75,25;
-96;FlexPowerplant2;MUNSTER NEUBAU 25;EnergySupplyMustRun;-103,14;3000;7;7;
-96;FlexPowerplant2;BOCHUM 3R;EnergySupplyMustRun;-103,01;3000;1,5;1,5;
-96;FlexPowerplant2;WILHELMSHAVEN A;EnergySupplyMustRun;-102,38;3000;77;77;
-96;FlexPowerplant2;KARLSRUHE WEST 3;EnergySupplyMustRun;-102,27;3000;4,25;4,25;
-96;FlexPowerplant2;KARLSRUHE WEST 2;EnergySupplyMustRun;-101,75;3000;3,25;3,25;
-96;FlexPowerplant2;KARLSRUHE WEST 1;EnergySupplyMustRun;-101,75;3000;3,25;3,25;
-96;FlexPowerplant2;SCHOLVEN C;EnergySupplyMustRun;-100,41;3000;37;37;
-96;FlexPowerplant2;SCHOLVEN E;EnergySupplyMustRun;-100,41;3000;37;37;
-96;FlexPowerplant2;SCHOLVEN D;EnergySupplyMustRun;-100,41;3000;37;37;
-96;FlexPowerplant2;LUNEN-2 NO 1;EnergySupplyMustRun;-100,41;3000;35;35;
-96;FlexPowerplant2;FARGE 1;EnergySupplyMustRun;-100,41;3000;35;35;
-96;FlexPowerplant2;WESTFALEN-C;EnergySupplyMustRun;-100,41;3000;32;32;
-96;FlexPowerplant2;GKM 4;EnergySupplyMustRun;-100,41;3000;22;22;
-96;FlexPowerplant2;SHAMROCK 3;EnergySupplyMustRun;-100,04;3000;3,5;3,5;
-96;FlexPowerplant2;KIEL-A;EnergySupplyMustRun;-100;3000;35,5;35,5;
-96;FlexPowerplant2;WALHEIM 2;EnergySupplyMustRun;-99,99;3000;10,25;10,25;
-96;FlexPowerplant2;SHAMROCK 4;EnergySupplyMustRun;-99,94;3000;3,5;3,5;
-96;FlexPowerplant2;SCHOLVEN B;EnergySupplyMustRun;-99,29;3000;37;37;
-96;FlexPowerplant2;HERNE 3;EnergySupplyMustRun;-99,29;3000;30;30;
-96;FlexPowerplant2;BREMEN-HAFEN 5;EnergySupplyMustRun;-99,29;3000;14;14;
-96;FlexPowerplant2;HEILBRONN 6;EnergySupplyMustRun;-99,29;3000;12,5;12,5;
-96;FlexPowerplant2;HOECHST 3;EnergySupplyMustRun;-98,66;3000;6,5;6,5;
-96;FlexPowerplant2;SHAMROCK 2;EnergySupplyMustRun;-98,18;3000;2,75;2,75;
-96;FlexPowerplant2;WALHEIM 1;EnergySupplyMustRun;-98,11;3000;16;16;
-96;FlexPowerplant2;HERNE 2;EnergySupplyMustRun;-98,11;3000;15;15;
-96;FlexPowerplant2;HEILBRONN 5;EnergySupplyMustRun;-98,11;3000;12,5;12,5;
-96;FlexPowerplant2;WEDEL 1 NEW;EnergySupplyMustRun;-97,33;3000;15,25;15,25;
-96;FlexPowerplant2;LUNEN-1 NO 6;EnergySupplyMustRun;-96,86;3000;15;15;
-96;FlexPowerplant2;HOECHST 2;EnergySupplyMustRun;-96,75;3000;1,75;1,75;
-96;FlexPowerplant2;SHAMROCK 1;EnergySupplyMustRun;-96,62;3000;2,75;2,75;
-96;FlexPowerplant2;WEDEL 2 NEW;EnergySupplyMustRun;-96,33;3000;13,75;13,75;
-96;FlexPowerplant2;WACHTBERG 1;EnergySupplyMustRun;-93,99;3000;9;9;
-96;FlexPowerplant2;BIELEFELD 4;EnergySupplyMustRun;-92,33;3000;2,5;2,5;
-96;FlexPowerplant2;MAINZ-II GT 1R;EnergySupplyMustRun;-91,97;3000;7;7;
-96;FlexPowerplant2;GTKW DARMSTADT GT 1;EnergySupplyMustRun;-88,29;3000;3,5;3,5;
-96;FlexPowerplant2;GTKW DARMSTADT GT 2;EnergySupplyMustRun;-88,29;3000;3,5;3,5;
-96;FlexPowerplant2;BIELEFELD 3;EnergySupplyMustRun;-88,19;3000;1,75;1,75;
-96;FlexPowerplant2;BIELEFELD 2;EnergySupplyMustRun;-86,53;3000;1,25;1,25;
-96;FlexPowerplant2;LEUNA REFINERY S2;EnergySupplyMustRun;-83,37;3000;2,75;2,75;
-96;FlexPowerplant2;AUGSBURG OST GT 1;EnergySupplyMustRun;-81,74;3000;2,25;2,25;
-96;FlexPowerplant2;AHRENSFELDE GT F4;EnergySupplyMustRun;-81,02;3000;2,75;2,75;
-96;FlexPowerplant2;LEUNA REFINERY S3;EnergySupplyMustRun;-80,1;3000;2,5;2,5;
-96;FlexPowerplant2;IRSCHING-5;EnergySupplyMustRun;-78,31;3000;43;43;
-96;FlexPowerplant2;THYROW GT E7;EnergySupplyMustRun;-77,87;3000;2,75;2,75;
-96;FlexPowerplant2;THYROW GT E6;EnergySupplyMustRun;-77,87;3000;2,75;2,75;
-96;FlexPowerplant2;THYROW GT E5;EnergySupplyMustRun;-77,87;3000;2,75;2,75;
-96;FlexPowerplant2;AHRENSFELDE GT F1;EnergySupplyMustRun;-77,87;3000;2,75;2,75;
-96;FlexPowerplant2;THYROW GT E8;EnergySupplyMustRun;-77,87;3000;2,75;2,75;
-96;FlexPowerplant2;AHRENSFELDE GT F2;EnergySupplyMustRun;-77,87;3000;2,75;2,75;
-96;FlexPowerplant2;EMSLAND LINGEN-D;EnergySupplyMustRun;-77,78;3000;42,5;42,5;
-96;FlexPowerplant2;IRSCHING-4 CCGT;EnergySupplyMustRun;-77,56;3000;28,25;28,25;
-96;FlexPowerplant2;AHRENSFELDE GT F3;EnergySupplyMustRun;-77,5;3000;2,75;2,75;
-96;FlexPowerplant2;MAINZ-III CC;EnergySupplyMustRun;-77,19;3000;19,75;19,75;
-96;FlexPowerplant2;ROMERBRUCKE;EnergySupplyMustRun;-76,47;3000;3;3;
-96;FlexPowerplant2;MITTELSBUREN CC 1;EnergySupplyMustRun;-76,46;3000;22,25;22,25;
-96;FlexPowerplant2;WOLFEN ENVIA GT 1;EnergySupplyMustRun;-76,43;3000;3;3;
-96;FlexPowerplant2;HKW WEST GT 1;EnergySupplyMustRun;-76,17;3000;7,25;7,25;
-96;FlexPowerplant2;LEUNA REFINERY S1;EnergySupplyMustRun;-76,1;3000;2,25;2,25;
-96;FlexPowerplant2;HAMM-UENTROP CC 1;EnergySupplyMustRun;-75,89;3000;20;20;
-96;FlexPowerplant2;HAMM-UENTROP CC 2;EnergySupplyMustRun;-75,89;3000;20;20;
-96;FlexPowerplant2;HKW NORD KARLSTRASSE CC;EnergySupplyMustRun;-75,32;3000;4,75;4,75;
-96;FlexPowerplant2;TIEFSTACK ERSATZ CC;EnergySupplyMustRun;-74,59;3000;7,75;7,75;
-96;FlexPowerplant2;LEUNA REFINERY CC;EnergySupplyMustRun;-74,2;3000;6,5;6,5;
-96;FlexPowerplant2;LUDWIGSHAFEN KW SUD;EnergySupplyMustRun;-74,14;3000;16,25;16,25;
-96;FlexPowerplant2;HKW SUD SAARBRUCKEN;EnergySupplyMustRun;-73,94;3000;2;2;
-96;FlexPowerplant2;HERDECKE CUNO CC;EnergySupplyMustRun;-73,36;3000;20,75;20,75;
-96;FlexPowerplant2;HOECHST BUSINESS PARK;EnergySupplyMustRun;-72,91;3000;10;10;
-96;FlexPowerplant2;GERA NORD NEW-1;EnergySupplyMustRun;-72,64;3000;1,75;1,75;
-96;FlexPowerplant2;GERA NORD NEW-2;EnergySupplyMustRun;-72,64;3000;1,75;1,75;
-96;FlexPowerplant2;MUNCHEN SUD-7;EnergySupplyMustRun;-71,98;3000;21,25;21,25;
-96;FlexPowerplant2;NIEHL-2;EnergySupplyMustRun;-71,64;3000;20,25;20,25;
-96;FlexPowerplant2;DUISBURG-WANHEIM-B;EnergySupplyMustRun;-71,64;3000;11,5;11,5;
-96;FlexPowerplant2;HAFEN MUNSTER CC;EnergySupplyMustRun;-71,64;3000;5;5;
-96;FlexPowerplant2;LAUSWARD A CC;EnergySupplyMustRun;-71,64;3000;4,5;4,5;
-96;FlexPowerplant2;HKW NIEDERRAD-2;EnergySupplyMustRun;-71,64;3000;3,75;3,75;
-96;FlexPowerplant2;ERLANGEN CC;EnergySupplyMustRun;-71,64;3000;1,5;1,5;
-96;FlexPowerplant2;GKH LINDEN CC;EnergySupplyMustRun;-71,53;3000;12;12;
-96;FlexPowerplant2;ALTBACH-II GT 1;EnergySupplyMustRun;-71,43;3000;5;5;
-96;FlexPowerplant2;ROSTOCK-MARIENEHE CC-1;EnergySupplyMustRun;-71,19;3000;1,75;1,75;
-96;FlexPowerplant2;ROSTOCK-MARIENEHE CC-3;EnergySupplyMustRun;-71,19;3000;1,75;1,75;
-96;FlexPowerplant2;ROSTOCK-MARIENEHE CC-2;EnergySupplyMustRun;-71,19;3000;1,75;1,75;
-96;FlexPowerplant2;ERFURT-OST;EnergySupplyMustRun;-69,47;3000;5,75;5,75;
-96;FlexPowerplant2;DORMAGEN RWE;EnergySupplyMustRun;-69,37;3000;29;29;
-96;FlexPowerplant2;THYROW GT E4;EnergySupplyMustRun;-69,08;3000;2,75;2,75;
-96;FlexPowerplant2;THYROW GT E3;EnergySupplyMustRun;-69,08;3000;2,75;2,75;
-96;FlexPowerplant2;THYROW GT E2;EnergySupplyMustRun;-69,08;3000;2,75;2,75;
-96;FlexPowerplant2;THYROW GT E1;EnergySupplyMustRun;-69,08;3000;2,75;2,75;
-96;FlexPowerplant2;SANDREUTH 2;EnergySupplyMustRun;-68,95;3000;3,75;3,75;
-96;FlexPowerplant2;SANDREUTH 1;EnergySupplyMustRun;-68,95;3000;3,75;3,75;
-96;FlexPowerplant2;BARMEN-I 1RP;EnergySupplyMustRun;-68,42;3000;4,5;4,5;
-96;FlexPowerplant2;CHEMNITZ NORD-II NO 1;EnergySupplyMustRun;-68,26;3000;5;5;
-96;FlexPowerplant2;DIESELSTRASSE CC-2;EnergySupplyMustRun;-68,02;3000;2;2;
-96;FlexPowerplant2;DIESELSTRASSE CC-1;EnergySupplyMustRun;-68,02;3000;2;2;
-96;FlexPowerplant2;HALLE-TROTHA;EnergySupplyMustRun;-67,01;3000;2,75;2,75;
-96;FlexPowerplant2;MERKENICH (NORD) CC;EnergySupplyMustRun;-66,8;3000;5,5;5,5;
-96;FlexPowerplant2;BRANDENBURG HAVEL GT 2;EnergySupplyMustRun;-66,1;3000;1,5;1,5;
-96;FlexPowerplant2;BRANDENBURG HAVEL GT 1;EnergySupplyMustRun;-66,1;3000;1,5;1,5;
-96;FlexPowerplant2;CHEMNITZ NORD-II NO 3;EnergySupplyMustRun;-65,69;3000;11,25;11,25;
-96;FlexPowerplant2;CHEMNITZ NORD-II NO 2;EnergySupplyMustRun;-65,65;3000;10;10;
-96;FlexPowerplant2;BITTERFELD ENVIA;EnergySupplyMustRun;-65,54;3000;5,75;5,75;
-96;FlexPowerplant2;KLINGENBERG 5;EnergySupplyMustRun;-65,32;3000;9;9;
-96;FlexPowerplant2;KLINGENBERG 6;EnergySupplyMustRun;-65,32;3000;9;9;
-96;FlexPowerplant2;GOLDENBERG K;EnergySupplyMustRun;-65,24;3000;25,75;25,75;
-96;FlexPowerplant2;WERNE (GERSTEIN K) GT 1;EnergySupplyMustRun;-64,91;3000;8,5;8,5;
-96;FlexPowerplant2;NIEDERAUSSEM G;EnergySupplyMustRun;-64,87;3000;93;93;
-96;FlexPowerplant2;RDK (KARLSRUHE) 4RP;EnergySupplyMustRun;-64,83;3000;19;19;
-96;FlexPowerplant2;MITTE BERLIN CC;EnergySupplyMustRun;-64,57;3000;19,25;19,25;
-96;FlexPowerplant2;NIEDERAUSSEM H;EnergySupplyMustRun;-64,52;3000;93;93;
-96;FlexPowerplant2;BOXBERG P;EnergySupplyMustRun;-64,4;3000;75;75;
-96;FlexPowerplant2;MITSUBISHI HITEC;EnergySupplyMustRun;-64,39;3000;2;2;
-96;FlexPowerplant2;NEUBRANDENBURG GUD;EnergySupplyMustRun;-64,35;3000;3,75;3,75;
-96;FlexPowerplant2;KLINGENBERG 4;EnergySupplyMustRun;-64,28;3000;9;9;
-96;FlexPowerplant2;WEISWEILER H;EnergySupplyMustRun;-63,91;3000;90;90;
-96;FlexPowerplant2;NEURATH D;EnergySupplyMustRun;-63,91;3000;90;90;
-96;FlexPowerplant2;NEURATH E;EnergySupplyMustRun;-63,84;3000;90;90;
-96;FlexPowerplant2;BOXBERG N;EnergySupplyMustRun;-63,78;3000;75;75;
-96;FlexPowerplant2;FLENSBURG 12;EnergySupplyMustRun;-63,66;3000;3,75;3,75;
-96;FlexPowerplant2;NEURATH C;EnergySupplyMustRun;-63,33;3000;45;45;
-96;FlexPowerplant2;NEURATH A;EnergySupplyMustRun;-63,33;3000;45;45;
-96;FlexPowerplant2;NEURATH B;EnergySupplyMustRun;-63,33;3000;45;45;
-96;FlexPowerplant2;WEISWEILER G;EnergySupplyMustRun;-63,26;3000;90;90;
-96;FlexPowerplant2;HEIZKRAFTWERK POTSDAM SUD;EnergySupplyMustRun;-63,05;3000;4;4;
-96;FlexPowerplant2;JENA SUD;EnergySupplyMustRun;-62,91;3000;9,75;9,75;
-96;FlexPowerplant2;NIEDERAUSSEM F;EnergySupplyMustRun;-62,72;3000;48;48;
-96;FlexPowerplant2;NIEDERAUSSEM E;EnergySupplyMustRun;-62,72;3000;47,25;47,25;
-96;FlexPowerplant2;FRIMMERSDORF Q;EnergySupplyMustRun;-62,72;3000;45;45;
-96;FlexPowerplant2;LEIPZIG GUD;EnergySupplyMustRun;-62,26;3000;8,5;8,5;
-96;FlexPowerplant2;NIEDERAUSSEM C;EnergySupplyMustRun;-62,16;3000;50,25;50,25;
-96;FlexPowerplant2;WEISWEILER E;EnergySupplyMustRun;-62,16;3000;45;45;
-96;FlexPowerplant2;FRIMMERSDORF P;EnergySupplyMustRun;-62,08;3000;45;45;
-96;FlexPowerplant2;WEISWEILER F;EnergySupplyMustRun;-62,08;3000;45;45;
-96;FlexPowerplant2;NIEDERAUSSEM D;EnergySupplyMustRun;-62,08;3000;45;45;
-96;FlexPowerplant2;NOSSENER 3;EnergySupplyMustRun;-62,08;3000;3,75;3,75;
-96;FlexPowerplant2;NOSSENER 2;EnergySupplyMustRun;-62,08;3000;3,75;3,75;
-96;FlexPowerplant2;NOSSENER 1;EnergySupplyMustRun;-62,08;3000;3,75;3,75;
-96;FlexPowerplant2;NOSSENER BRUECKE;EnergySupplyMustRun;-61,83;3000;13,5;13,5;
-96;FlexPowerplant2;NIEDERAUSSEM B;EnergySupplyMustRun;-61,6;3000;22,75;22,75;
-96;FlexPowerplant2;NIEDERAUSSEM A;EnergySupplyMustRun;-61,6;3000;22,75;22,75;
-96;FlexPowerplant2;FRIMMERSDORF M;EnergySupplyMustRun;-61,48;3000;22,5;22,5;
-96;FlexPowerplant2;FRIMMERSDORF L;EnergySupplyMustRun;-61,48;3000;22,5;22,5;
-96;FlexPowerplant2;OBERHAVEL 2;EnergySupplyMustRun;-61,48;3000;15;15;
-96;FlexPowerplant2;FRIMMERSDORF O;EnergySupplyMustRun;-61,41;3000;22,5;22,5;
-96;FlexPowerplant2;FRIMMERSDORF N;EnergySupplyMustRun;-61,41;3000;22,5;22,5;
-96;FlexPowerplant2;KIRCHMOSER;EnergySupplyMustRun;-61,41;3000;8,25;8,25;
-96;FlexPowerplant2;SCHWERIN-SUD;EnergySupplyMustRun;-61,41;3000;3,5;3,5;
-96;FlexPowerplant2;FRIMMERSDORF F;EnergySupplyMustRun;-60,69;3000;22,5;22,5;
-96;FlexPowerplant2;FRIMMERSDORF E;EnergySupplyMustRun;-60,69;3000;22,5;22,5;
-96;FlexPowerplant2;WEISWEILER D;EnergySupplyMustRun;-60,69;3000;22,5;22,5;
-96;FlexPowerplant2;OBERHAVEL 1;EnergySupplyMustRun;-60,69;3000;15;15;
-96;FlexPowerplant2;KASSEL KOMBI-1;EnergySupplyMustRun;-60,2;3000;1;1;
-96;FlexPowerplant2;WEISWEILER C;EnergySupplyMustRun;-59,94;3000;22,5;22,5;
-96;FlexPowerplant2;EMSLAND LINGEN-C;EnergySupplyMustRun;-59,79;3000;24;24;
-96;FlexPowerplant2;EMSLAND LINGEN-B;EnergySupplyMustRun;-59,79;3000;24;24;
-96;FlexPowerplant2;FREIBURG WVK GT 1;EnergySupplyMustRun;-59,28;3000;2;2;
-96;FlexPowerplant2;LANKOW;EnergySupplyMustRun;-55,61;3000;1,25;1,25;
-96;FlexPowerplant2;HILTROP CC;EnergySupplyMustRun;-50,55;3000;2,25;2,25;
-96;FlexPowerplant2;SUDSTADT;EnergySupplyMustRun;-49,38;3000;1,75;1,75;
-96;FlexPowerplant2;KIRCHLENGERN;EnergySupplyMustRun;-49;3000;8;8;
-96;FlexPowerplant2;HAGEN-KABEL;EnergySupplyMustRun;-44,77;3000;11;11;
-96;FlexPowerplant2;FRIEDENSBRUCKE CC-1;EnergySupplyMustRun;-44,3;3000;3,5;3,5;
-96;FlexPowerplant2;MUNCHEN SUD-6;EnergySupplyMustRun;-43,62;3000;16,5;16,5;
-96;FlexPowerplant2;FRANKFURT ODER;EnergySupplyMustRun;-43,56;3000;4;4;
-96;FlexPowerplant2;FRIEDENSBRUCKE CC-2;EnergySupplyMustRun;-42,23;3000;2,75;2,75;
-96;FlexPowerplant2;FRIEDRICHSTRASSE NEW GT 1;EnergySupplyMustRun;-39,92;3000;2;2;
-96;FlexPowerplant2;OBERHAUSEN GT 1;EnergySupplyMustRun;-39,92;3000;2;2;
-96;FlexPowerplant2;KASSEL KOMBI-2;EnergySupplyMustRun;-37,39;3000;1,5;1,5;
-96;FlexPowerplant2;DESSAU GT 1;EnergySupplyMustRun;-35,59;3000;1,25;1,25;
-96;FlexPowerplant2;GERSTEINWERK G;EnergySupplyMustRun;-10,21;3000;45,75;45,75;
-96;FlexPowerplant2;HERRENHAUSEN-II NO 1;EnergySupplyMustRun;-2,33;3000;12,5;12,5;
-96;FlexPowerplant2;FRANKEN-I NO 2;EnergySupplyMustRun;2,92;3000;55;55;
-96;FlexPowerplant2;LAUSWARD E;EnergySupplyMustRun;2,92;3000;37,5;37,5;
-96;FlexPowerplant2;UMMELN GT 1;EnergySupplyMustRun;23;3000;7,5;7,5;
-96;FlexPowerplant2;IRSCHING 3;EnergySupplyMustRun;23,89;3000;55;55;
-96;FlexPowerplant2;LICHTERFELDE 3;EnergySupplyMustRun;23,89;3000;18,75;18,75;
-96;FlexPowerplant2;MITTELSBUREN GT 3;EnergySupplyMustRun;23,89;3000;10;10;
-96;FlexPowerplant2;CHARLOTTENBURG GT 1;EnergySupplyMustRun;23,89;3000;8,75;8,75;
-96;FlexPowerplant2;CHARLOTTENBURG GT 2;EnergySupplyMustRun;23,89;3000;8,75;8,75;
-96;FlexPowerplant2;LAUSWARD E GT 2;EnergySupplyMustRun;23,89;3000;7,75;7,75;
-96;FlexPowerplant2;LAUSWARD E GT 1;EnergySupplyMustRun;23,89;3000;7,75;7,75;
-96;FlexPowerplant2;GERSTEINWERK G GT 1;EnergySupplyMustRun;23,89;3000;7;7;
-96;FlexPowerplant2;HUNTORF CAES GT 4;EnergySupplyMustRun;24,62;3000;9,25;9,25;
-96;FlexPowerplant2;HUNTORF CAES GT 3;EnergySupplyMustRun;24,62;3000;9,25;9,25;
