name;description;powerMax;powerMin;rampUp;rampDown;marginalCosts;shutdownCosts
BOXBERG N;lignite;500;300;75;75;24,55;26500
NEURATH A;lignite;300;180;45;45;25;15900
NEURATH B;lignite;300;180;45;45;25;15900
NEURATH C;lignite;300;180;45;45;25;15900
WEISWEILER G;lignite;600;360;90;90;25,07;31800
FRIMMERSDORF Q;lignite;300;180;45;45;25,61;15900
NIEDERAUSSEM E;lignite;315;189;47;47;25,61;16695
NIEDERAUSSEM F;lignite;320;192;48;48;25,61;16960
WEISWEILER E;lignite;300;180;45;45;26,18;15900
NIEDERAUSSEM C;lignite;335;201;50;50;26,18;17755
NOSSENER 1;lignite;25;15;4;4;26,25;1325
NOSSENER 2;lignite;25;15;4;4;26,25;1325
NOSSENER 3;lignite;25;15;4;4;26,25;1325
FRIMMERSDORF P;lignite;300;180;45;45;26,25;15900
NIEDERAUSSEM D;lignite;300;180;45;45;26,25;15900
WEISWEILER F;lignite;300;180;45;45;26,25;15900
OBERHAVEL 2;lignite;100;60;15;15;26,85;5300
FRIMMERSDORF L;lignite;150;90;23;23;26,85;7950
FRIMMERSDORF M;lignite;150;90;23;23;26,85;7950
FRIMMERSDORF N;lignite;150;90;23;23;26,93;7950
FRIMMERSDORF O;lignite;150;90;23;23;26,93;7950
NIEDERAUSSEM A;lignite;152;91;23;23;26,93;8056
NIEDERAUSSEM B;lignite;152;91;23;23;26,93;8056
MERKENICH (NORD) 3;lignite;58;15;17;17;27,16;2767
OBERHAVEL 1;lignite;100;60;15;15;27,64;5300
FRIMMERSDORF E;lignite;150;90;23;23;27,64;7950
FRIMMERSDORF F;lignite;150;90;23;23;27,64;7950
WEISWEILER D;lignite;150;90;23;23;27,64;7950
WEISWEILER C;lignite;150;90;23;23;28,39;7950
MERKENICH (NORD) 2;lignite;24;6;7;7;29,38;1145
MOORBURG-A;hard coal;865;216;389;389;34,44;45153
MOORBURG-B;hard coal;865;216;389;389;34,44;45153
LUNEN-4 NO 1;hard coal;750;188;338;338;34,88;39150
WALSUM-10;hard coal;790;198;356;356;35,25;41238
GKM 9;hard coal;911;228;410;410;35,25;47554
WESTFALEN-D;hard coal;820;205;369;369;35,32;42804
BREMEN-HAFEN 6;hard coal;330;83;149;149;35,4;17226
WILHELMSHAVEN-C;hard coal;800;200;360;360;35,4;41760
WESTFALEN-E;hard coal;820;205;369;369;35,4;42804
RDK (KARLSRUHE) 8;hard coal;912;228;410;410;35,4;47606
GKM 6;hard coal;280;112;63;63;36,33;16240
ROSTOCK 1;hard coal;553;221;124;124;36,97;32074
ALTBACH-II NO 1;hard coal;348;87;157;157;37,31;18166
ROMERBRUCKE 3;hard coal;35;9;16;16;37,99;1827
WERNE (GERSTEIN K) 1;hard coal;670;268;151;151;37,99;38860
TIEFSTACK ERSATZ 1;hard coal;180;72;41;41;38,71;10440
MUNCHEN NORD 1;hard coal;390;156;88;88;38,71;22620
GKM 8;hard coal;480;192;108;108;38,71;27840
STAUDINGER 5;hard coal;510;204;115;115;38,71;29580
HKW OFFENBACH 1;hard coal;64;26;14;14;39,26;3712
WALSUM 09;hard coal;410;164;92;92;39,26;23780
REUTER WEST B;hard coal;300;75;135;135;39,35;15660
PFORZHEIM-III NO 1;hard coal;30;12;7;7;39,35;1740
HKW WEST 2;hard coal;69;28;16;16;39,35;4002
HKW WEST 3;hard coal;69;28;16;16;39,35;4002
ELBERFELD 2;hard coal;102;41;23;23;39,35;5916
HASTEDT 15;hard coal;130;52;29;29;39,35;7540
GKH HANNOVER 1;hard coal;150;60;34;34;39,35;8700
GKH HANNOVER 2;hard coal;150;60;34;34;39,35;8700
FENNE-C NO 1;hard coal;212;85;48;48;39,35;12296
HERNE 4;hard coal;500;200;113;113;39,35;29000
MOABIT 3;hard coal;102;41;23;23;39,45;5916
RDK (KARLSRUHE) 7;hard coal;550;138;248;248;40,02;28710
VOERDE B;hard coal;761;190;342;342;40,02;39724
BUER 1;hard coal;82;33;18;18;40,02;4756
ALTBACH-I NO 5;hard coal;460;184;104;104;40,02;26680
ZOLLING 5;hard coal;474;190;107;107;40,02;27492
HEILBRONN 7;hard coal;760;304;171;171;40,02;44080
IBBENBUREN-B NO 1;hard coal;808;323;182;182;40,02;46864
ROMERBRUCKE 2;hard coal;56;14;25;25;40,22;2923
HEYDEN 4;hard coal;911;364;205;205;40,22;52838
VOERDE A;hard coal;761;190;342;342;40,82;39724
SHAMROCK 3;hard coal;34;14;8;8;40,82;1972
FENNE-B NO 1;hard coal;195;78;44;44;40,82;11310
WERDOHL-ELVERLINGSEN E4;hard coal;315;126;71;71;40,82;18270
GKM 7;hard coal;475;190;107;107;40,82;27550
SHAMROCK 4;hard coal;34;14;8;8;40,92;1972
BEXBACH C 1;hard coal;773;309;174;174;40,92;44834
KARLSRUHE WEST 4;hard coal;16;6;4;4;41,02;928
KARLSRUHE WEST 1;hard coal;32;13;7;7;41,02;1856
KARLSRUHE WEST 2;hard coal;32;13;7;7;41,02;1856
FLENSBURG 09;hard coal;36;14;8;8;41,02;2088
FLENSBURG 11;hard coal;38;15;9;9;41,02;2204
KARLSRUHE WEST 3;hard coal;42;17;9;9;41,02;2436
FLENSBURG 10;hard coal;36;14;8;8;41,23;2088
REUTER WEST A;hard coal;300;75;135;135;41,64;15660
SCHOLVEN F;hard coal;740;296;167;167;41,64;42920
MEHRUM 1;hard coal;752;301;169;169;41,64;43616
BERGKAMEN A;hard coal;777;194;350;350;41,86;40559
MUNSTER NEUBAU 25;hard coal;70;28;16;16;41,86;4060
WEIHER 3;hard coal;707;177;318;318;42,62;36905
WILHELMSHAVEN A;hard coal;770;308;173;173;42,62;44660
KASSEL SWEW 1;hard coal;36;14;8;8;42,95;2088
ULM 3;hard coal;16;6;4;4;43,75;928
HOECHST 2;hard coal;17;7;4;4;44,11;986
HOECHST 3;hard coal;64;26;14;14;44,11;3712
WEST (VOERDE) 1;hard coal;356;89;160;160;44,59;18583
WEST (VOERDE) 2;hard coal;356;89;160;160;44,59;18583
GKM 4;hard coal;220;88;50;50;44,59;12760
WESTFALEN-C;hard coal;320;128;72;72;44,59;18560
FARGE 1;hard coal;350;140;79;79;44,59;20300
LUNEN-2 NO 1;hard coal;350;140;79;79;44,59;20300
KIEL-A;hard coal;354;142;80;80;44,59;20532
SCHOLVEN C;hard coal;370;148;83;83;44,59;21460
SCHOLVEN D;hard coal;370;148;83;83;44,59;21460
SCHOLVEN E;hard coal;370;148;83;83;44,59;21460
REUTER C;hard coal;132;33;59;59;45,71;6890
WALHEIM 2;hard coal;103;41;23;23;45,71;5974
HEILBRONN 6;hard coal;125;50;28;28;45,71;7250
BREMEN-HAFEN 5;hard coal;140;56;32;32;45,71;8120
HERNE 3;hard coal;300;120;68;68;45,71;17400
SCHOLVEN B;hard coal;370;148;83;83;45,71;21460
HEILBRONN 5;hard coal;125;50;28;28;46,89;7250
HERNE 2;hard coal;150;60;34;34;46,89;8700
WALHEIM 1;hard coal;160;64;36;36;46,89;9280
WEDEL 2 NEW;hard coal;137;55;31;31;48,14;7946
LUNEN-1 NO 6;hard coal;150;60;34;34;48,14;8700
WEDEL 1 NEW;hard coal;153;61;34;34;48,14;8874
SHAMROCK 2;hard coal;28;11;6;6;49,46;1624
SHAMROCK 1;hard coal;28;11;6;6;51,01;1624
WACHTBERG 1;hard coal;90;36;20;20;51,01;5220
